,property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
0,https://www.realtor.com/realestateandhomes-detail/9326914888,AUTX,3398317,FOR_RENT,SINGLE_FAMILY,6105 Roderick Dr,,Austin,TX,78724,3,2,,1725,2021,,2100,2023-10-19,,,5750,1,30.262033,-97.583739,1,0,2
1,https://www.realtor.com/realestateandhomes-detail/8757131351,AUTX,7871737,FOR_RENT,SINGLE_FAMILY,3303 Crownover St,,Austin,TX,78725,4,2,,1448,2005,,1995,2023-10-19,,,4312,1,30.230367,-97.587809,1,0,1
2,https://www.realtor.com/realestateandhomes-detail/8039996958,AUTX,1359159,FOR_RENT,CONDOS,360 Nueces St,Apt 3109,Austin,TX,78701,2,2,,1244,2008,,4500,2023-10-19,,,174,4,30.267658,-97.749619,1,,2
3,https://www.realtor.com/realestateandhomes-detail/9474765573,AUTX,6993174,FOR_RENT,SINGLE_FAMILY,1406 2nd St,Unit 1,Austin,TX,78702,3,2,,1387,2008,0,4750,2023-10-18,,,6229,3,30.260099,-97.729591,1,0,
4,https://www.realtor.com/realestateandhomes-detail/8492609315,AUTX,4734737,FOR_RENT,SINGLE_FAMILY,8515 Putnam Dr,,Austin,TX,78757,3,2,,1141,1965,0,1795,2023-10-18,,,7187,2,30.363414,-97.721684,1,0,1
5,https://www.realtor.com/realestateandhomes-detail/8283990257,AVAL,60915447,FOR_RENT,APARTMENT,3505 Westchester Ave,Unit A,Austin,TX,78759,3,2,,1800,,0,2195,2023-10-18,,,,1,30.364828,-97.744793,,,
6,https://www.realtor.com/realestateandhomes-detail/7540645220,AUTX,3190744,FOR_RENT,TOWNHOMES,1015 Yager Ln,Unit 88,Austin,TX,78753,1,1,,565,1984,0,1350,2023-10-18,,,3136,2,30.390182,-97.662277,1,,
7,https://www.realtor.com/realestateandhomes-detail/7599829282,AUTX,3166388,FOR_RENT,CONDOS,2301 Bluebonnet Ln,Unit 12,Austin,TX,78704,3,3,1,1853,2017,0,4350,2023-10-18,,,2614,2,30.248116,-97.776001,3,,1
8,https://www.realtor.com/realestateandhomes-detail/9135645487,AUTX,6833677,FOR_RENT,DUPLEX_TRIPLEX,2809 Rio Grande St,Apt F,Austin,TX,78705,3,2,,1370,1998,0,2850,2023-10-18,,,9757,2,30.294115,-97.743614,2,,
9,https://www.realtor.com/realestateandhomes-detail/8836701659,AUTX,9329973,FOR_RENT,CONDOS,300 Bowie St,Apt 706,Austin,TX,78703,1,1,,585,2007,0,2250,2023-10-18,,,57,4,30.268785,-97.753922,1,,1
10,https://www.realtor.com/realestateandhomes-detail/8667268579,AUTX,6513162,FOR_RENT,CONDOS,501 26th St,Apt 122,Austin,TX,78705,3,2,,1211,1997,0,2450,2023-10-18,,,523,2,30.290184,-97.7425,2,,1
11,https://www.realtor.com/realestateandhomes-detail/7225595273,AUTX,5088630,FOR_RENT,SINGLE_FAMILY,12741 War Path,,Austin,TX,78727,3,2,1,2075,1997,0,2550,2023-10-18,,,5763,1,30.428254,-97.715359,2,0,2
